Date,Recorder,Site,Block,Plot,Quadrant,Species (Nell),Species,Cover,Notes,what3words,survey
2022-07-11,Nell Pates,Boothby,NW,322,1,beans,Vicia faba,100,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,1,bare soil,bare soil,80,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,1,stones,stones,5,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,1,dead leaves,dead leaves,40,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,2,beans,Vicia faba,100,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,2,bare soil,bare soil,90,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,2,dead leaves,dead leaves,35,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,3,beans,Vicia faba,85,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,3,bare soil,bare soil,95,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,3,stones,stones,2,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,3,dead leaves,dead leaves,50,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,4,beans,Vicia faba,95,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,4,bare soil,bare soil,90,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,322,4,dead leaves,dead leaves,35,,lake.outgrown.excuse,A
2022-07-11,Nell Pates,Boothby,NW,311,1,grass crop,Triticum aestivum,100,,forkfull.firework.craziest,A
2022-07-11,Nell Pates,Boothby,NW,311,1,bare soil,bare soil,50,,forkfull.firework.craziest,A
2022-07-11,Nell Pates,Boothby,NW,311,2,grass crop,Triticum aestivum,100,,forkfull.firework.craziest,A
2022-07-11,Nell Pates,Boothby,NW,311,2,bare soil,bare soil,50,,forkfull.firework.craziest,A
2022-07-11,Nell Pates,Boothby,NW,311,3,grass crop,Triticum aestivum,95,,forkfull.firework.craziest,A
2022-07-11,Nell Pates,Boothby,NW,311,3,bare soil,bare soil,70,,forkfull.firework.craziest,A
2022-07-11,Nell Pates,Boothby,NW,311,4,grass crop,Triticum aestivum,100,,forkfull.firework.craziest,A
2022-07-11,Nell Pates,Boothby,NW,311,4,bare soil,bare soil,50,,forkfull.firework.craziest,A
2022-07-11,Nell Pates,Boothby,NW,333,1,grass crop,Triticum aestivum,100,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,1,bare soil,bare soil,75,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,1,shoot 1,Geranium molle,0.1,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,1,shoot 2,Chenopodium ficifolium,0.1,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,1,stones,stones,5,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,2,grass crop,Triticum aestivum,90,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,2,bare soil,bare soil,80,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,2,stones,stones,10,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,3,grass crop,Triticum aestivum,100,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,3,bare soil,bare soil,75,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,3,stones,stones,5,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,3,shoot 3,Galium aparine,0.1,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,4,grass crop,Triticum aestivum,100,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,4,bare soil,bare soil,70,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,333,4,stones,stones,10,,became.jetted.roadshow,A
2022-07-11,Nell Pates,Boothby,NW,133,1,Grass 1 - Arrhen,Arrhenatherum elatius,10,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,1,Grass 2 - Timothy,Phleum pratense,5,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,1,Grass 3 - cocksfoot,Dactylis glomerata,1,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,1,Umbellifer,Daucus carota,5,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,1,C. nigra,Centaurea nigra,4,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,1,Shrub / sapling,Prunus spinosa,50,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,1,Bramble,Rubus fructicosus,35,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,1,vetch - purple flowers,Vicia tetraspermae,10,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,1,senesced grass,senesced grass,40,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,1,Lotus?,Lotus corniculatus,0.1,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,2,Grass 1 - Arrhen,Arrhenatherum elatius,15,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,2,Grass 2 - Timothy,Phleum pratense,10,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,2,Grass 4 - poa?,Poa trivialis,3,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,2,Umbellifer,Daucus carota,25,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,2,C. nigra,Centaurea nigra,11,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,2,Shrub / sapling,Prunus spinosa,40,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,2,Bramble,Rubus fructicosus,50,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,2,vetch - purple flowers,Vicia tetraspermae,10,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,2,Grass 5 - brome?,Festuca rubra,0.1,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,2,senesced grass,senesced grass,50,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,2,Grass 6 - tight to stalk,Cynosurus cristatus,1,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,3,Grass 1 - Arrhen,Arrhenatherum elatius,5,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,3,Grass 2 - Timothy,Phleum pratense,5,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,3,Grass 3 - cocksfoot,Dactylis glomerata,0.5,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,3,Grass 4 - poa?,Agrostis capillaris,5,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,3,Grass 5 - brome?,Festuca rubra,0.1,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,3,Umbellifer,Daucus carota,10,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,3,Shrub / sapling,Prunus spinosa,20,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,3,Bramble,Rubus fructicosus,50,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,3,vetch - purple flowers,Vicia tetraspermae,15,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,3,senesced grass,senesced grass,35,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,3,"long, thin, fluffy leaf",Cirsium arvense,0.5,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,3,Rumex sp?,Rumex crispus,0.5,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,4,Grass 1 - Arrhen,Arrhenatherum elatius,10,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,4,Grass 2 - Timothy,Phleum pratense,15,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,4,Grass 3 - cocksfoot,Dactylis glomerata,0.1,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,4,Grass 4 - poa?,Agrostis capillaris,5,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,4,Umbellifer,Daucus carota,40,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,4,C. nigra,Centaurea nigra,15,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,4,Shrub / sapling,Prunus spinosa,25,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,4,Bramble,Rubus fructicosus,50,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,4,vetch - purple flowers,Vicia tetraspermae,8,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,4,"large, spiky, lumpy leaves",Picris echioides,8,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,133,4,senesced grass,senesced grass,10,,festivity.conveying.proofread,A
2022-07-11,Nell Pates,Boothby,NW,113,1,beans,Vicia faba,95,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,1,bare soil,bare soil,85,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,1,grass sp,Alopecurus myosuroides,10,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,1,dead leaves,dead leaves,8,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,1,shoot - just leaves,Chenopodium ficifolium,2,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,2,beans,Vicia faba,100,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,2,bare soil,bare soil,95,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,2,grass sp,Alopecurus myosuroides,10,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,2,dead leaves,dead leaves,10,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,2,shoot - just leaves,Chenopodium ficifolium,4,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,2,bindweed,Fallopia convolvulvus,2,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,3,beans,Vicia faba,100,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,3,bare soil,bare soil,85,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,3,grass sp,Alopecurus myosuroides,15,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,3,dead leaves,dead leaves,5,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,3,shoot - just leaves,Chenopodium ficifolium,2,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,4,beans,Vicia faba,100,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,4,bare soil,bare soil,85,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,4,grass sp,Alopecurus myosuroides,10,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,4,dead leaves,dead leaves,10,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,113,4,shoot - just leaves,Chenopodium ficifolium,1,,tensions.tipping.sleepers,A
2022-07-11,Nell Pates,Boothby,NW,112,1,beans,Vicia faba,40,,stamp.undivided.takeovers,A
2022-07-11,Nell Pates,Boothby,NW,112,1,bare soil,bare soil,90,,stamp.undivided.takeovers,A
2022-07-11,Nell Pates,Boothby,NW,112,1,dead leaves,dead leaves,12,,stamp.undivided.takeovers,A
2022-07-11,Nell Pates,Boothby,NW,112,1,grass sp,Alopecurus myosuroides,10,,stamp.undivided.takeovers,A
2022-07-11,Nell Pates,Boothby,NW,112,1,shoot - just leaves,Chenopodium ficifolium,1.5,,stamp.undivided.takeovers,A
2022-07-11,Nell Pates,Boothby,NW,112,2,beans,Vicia faba,95,,stamp.undivided.takeovers,A
2022-07-11,Nell Pates,Boothby,NW,112,2,bare soil,bare soil,95,,stamp.undivided.takeovers,A
2022-07-11,Nell Pates,Boothby,NW,112,2,dead leaves,dead leaves,25,,stamp.undivided.takeovers,A
2022-07-11,Nell Pates,Boothby,NW,112,3,beans,Vicia faba,70,,stamp.undivided.takeovers,A
2022-07-11,Nell Pates,Boothby,NW,112,3,bare soil,bare soil,95,,stamp.undivided.takeovers,A
2022-07-11,Nell Pates,Boothby,NW,112,3,dead leaves,dead leaves,20,,stamp.undivided.takeovers,A
2022-07-11,Nell Pates,Boothby,NW,112,3,grass sp,Alopecurus myosuroides,5,,stamp.undivided.takeovers,A
2022-07-11,Nell Pates,Boothby,NW,112,4,beans,Vicia faba,40,,stamp.undivided.takeovers,A
2022-07-11,Nell Pates,Boothby,NW,112,4,bare soil,bare soil,99,,stamp.undivided.takeovers,A
2022-07-11,Nell Pates,Boothby,NW,112,4,dead leaves,dead leaves,10,,stamp.undivided.takeovers,A
2022-07-11,Nell Pates,Boothby,NW,112,4,different shoot - looks like mint? but not scented,shoot,0.5,too small to ID,stamp.undivided.takeovers,A
2022-07-11,Nell Pates,Boothby,NW,111,1,blackthorn,Prunus spinosa,0,overhang - 100,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,1,Hairy grass - broad leaves,Brachypodium sylvaticum,45,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,1,Ground ivy,Glechoma hederacea,6,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,1,bare soil,bare soil,40,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,1,sticks,sticks,20,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,1,moss,moss,5,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,1,nettle,Urtica dioica,0.1,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,1,damaged leaves,shoot,0.1,too small to ID,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,2,blackthorn,Prunus spinosa,0,overhang - 100,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,2,Hairy grass - broad leaves,Brachypodium sylvaticum,50,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,2,Ground ivy,Glechoma hederacea,3,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,2,bare soil,bare soil,30,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,2,sticks,sticks,10,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,2,moss,moss,2,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,2,dead leaves,dead leaves,15,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,2,senesced grass,senesced grass,15,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,3,blackthorn,Prunus spinosa,0,overhang - 100,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,3,Hairy grass - broad leaves,Brachypodium sylvaticum,65,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,3,Ground ivy,Glechoma hederacea,7,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,3,bare soil,bare soil,5,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,3,sticks,sticks,3,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,3,moss,moss,2,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,3,dead leaves,dead leaves,4,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,3,senesced grass,senesced grass,50,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,3,nettle,Urtica dioica,6,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,3,Rumex sp?,Rumex sanguineus,5,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,3,shoots / saplings,Prunus spinosa,3.5,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,4,blackthorn,Prunus spinosa,0,overhang - 100,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,4,Hairy grass - broad leaves,Brachypodium sylvaticum,45,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,4,Ground ivy,Glechoma hederacea,5,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,4,bare soil,bare soil,5,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,4,sticks,sticks,5,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,4,dead leaves,dead leaves,5,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,4,senesced grass,senesced grass,30,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,4,shoots / saplings,Prunus spinosa,2,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,4,moss,moss,5,,shuffles.disposal.train,A
2022-07-11,Nell Pates,Boothby,NW,111,4,grass - poa?,Poa trivialis,0.1,,shuffles.disposal.train,A
2022-07-12,Nell Pates,Boothby,NW,122,1,beans,Vicia faba,60,,onlookers.pheasants.waxer,A
2022-07-12,Nell Pates,Boothby,NW,122,1,bare soil,bare soil,95,,onlookers.pheasants.waxer,A
2022-07-12,Nell Pates,Boothby,NW,122,1,dead leaves,dead leaves,30,,onlookers.pheasants.waxer,A
2022-07-12,Nell Pates,Boothby,NW,122,2,beans,Vicia faba,75,,onlookers.pheasants.waxer,A
2022-07-12,Nell Pates,Boothby,NW,122,2,bare soil,bare soil,90,,onlookers.pheasants.waxer,A
2022-07-12,Nell Pates,Boothby,NW,122,2,dead leaves,dead leaves,20,,onlookers.pheasants.waxer,A
2022-07-12,Nell Pates,Boothby,NW,122,2,wheat,Triticum aestivum,3,,onlookers.pheasants.waxer,A
2022-07-12,Nell Pates,Boothby,NW,122,2,dead clump,Senecio vulgaris,4,,onlookers.pheasants.waxer,A
2022-07-12,Nell Pates,Boothby,NW,122,2,shoot - same as yesterday,Chenopodium ficifolium,0.1,,onlookers.pheasants.waxer,A
2022-07-12,Nell Pates,Boothby,NW,122,3,beans,Vicia faba,75,,onlookers.pheasants.waxer,A
2022-07-12,Nell Pates,Boothby,NW,122,3,bare soil,bare soil,80,,onlookers.pheasants.waxer,A
2022-07-12,Nell Pates,Boothby,NW,122,3,dead leaves,dead leaves,20,,onlookers.pheasants.waxer,A
2022-07-12,Nell Pates,Boothby,NW,122,4,beans,Vicia faba,70,,onlookers.pheasants.waxer,A
2022-07-12,Nell Pates,Boothby,NW,122,4,bare soil,bare soil,80,,onlookers.pheasants.waxer,A
2022-07-12,Nell Pates,Boothby,NW,122,4,dead leaves,dead leaves,25,,onlookers.pheasants.waxer,A
2022-07-12,Nell Pates,Boothby,NW,122,4,dead clump - different from Q2?,Senecio vulgaris,10,,onlookers.pheasants.waxer,A
2022-07-12,Nell Pates,Boothby,NW,122,4,tiny shoot,shoot,0.1,too small to ID,onlookers.pheasants.waxer,A
2022-07-12,Nell Pates,Boothby,NW,122,4,wheat,Triticum aestivum,2,,onlookers.pheasants.waxer,A
2022-07-12,Nell Pates,Boothby,NW,211,1,beans,Vicia faba,90,,bluff.hatch.prices,A
2022-07-12,Nell Pates,Boothby,NW,211,1,bare soil,bare soil,80,,bluff.hatch.prices,A
2022-07-12,Nell Pates,Boothby,NW,211,1,dead leaves,dead leaves,25,,bluff.hatch.prices,A
2022-07-12,Nell Pates,Boothby,NW,211,2,beans,Vicia faba,95,,bluff.hatch.prices,A
2022-07-12,Nell Pates,Boothby,NW,211,2,bare soil,bare soil,70,,bluff.hatch.prices,A
2022-07-12,Nell Pates,Boothby,NW,211,2,dead leaves,dead leaves,35,,bluff.hatch.prices,A
2022-07-12,Nell Pates,Boothby,NW,211,2,stones,stones,3,,bluff.hatch.prices,A
2022-07-12,Nell Pates,Boothby,NW,211,3,beans,Vicia faba,70,,bluff.hatch.prices,A
2022-07-12,Nell Pates,Boothby,NW,211,3,bare soil,bare soil,65,,bluff.hatch.prices,A
2022-07-12,Nell Pates,Boothby,NW,211,3,dead leaves,dead leaves,50,,bluff.hatch.prices,A
2022-07-12,Nell Pates,Boothby,NW,211,3,stones,stones,1,,bluff.hatch.prices,A
2022-07-12,Nell Pates,Boothby,NW,211,4,beans,Vicia faba,75,,bluff.hatch.prices,A
2022-07-12,Nell Pates,Boothby,NW,211,4,bare soil,bare soil,60,,bluff.hatch.prices,A
2022-07-12,Nell Pates,Boothby,NW,211,4,dead leaves,dead leaves,25,,bluff.hatch.prices,A
2022-07-12,Nell Pates,Boothby,NW,222,1,beans,Vicia faba,45,,crown.housework.haggle,A
2022-07-12,Nell Pates,Boothby,NW,222,1,bare soil,bare soil,95,,crown.housework.haggle,A
2022-07-12,Nell Pates,Boothby,NW,222,1,dead leaves,dead leaves,25,,crown.housework.haggle,A
2022-07-12,Nell Pates,Boothby,NW,222,2,beans,Vicia faba,60,,crown.housework.haggle,A
2022-07-12,Nell Pates,Boothby,NW,222,2,bare soil,bare soil,90,,crown.housework.haggle,A
2022-07-12,Nell Pates,Boothby,NW,222,2,dead leaves,dead leaves,30,,crown.housework.haggle,A
2022-07-12,Nell Pates,Boothby,NW,222,3,beans,Vicia faba,50,,crown.housework.haggle,A
2022-07-12,Nell Pates,Boothby,NW,222,3,bare soil,bare soil,95,,crown.housework.haggle,A
2022-07-12,Nell Pates,Boothby,NW,222,3,dead leaves,dead leaves,15,,crown.housework.haggle,A
